timestamp,sensor_id,alarm_type,sensor_value,threshold,status,ack_timestamp
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
1970-04-13 00:26:14,PU1,LOW,2691.8,2120.0,미확인,
1971-11-13 12:49:38,SENSOR_11,HIGH,2691.8,2120.0,미확인,
1970-11-16 17:10:56,TX5,HIGH,2691.8,2120.0,미확인,
1971-01-27 00:25:40,TX6,HIGH,2691.8,2120.0,미확인,
1970-11-14 10:34:08,TX7,HIGH,2691.8,2120.0,미확인,
